id,sido_name,sigungu_name,remarks,shel_nm,address,lon,lat,shel_av,lenth,shel_div_type,seismic,height
431,경상북도,영덕군,노물지구,대원사입구,경상북도 영덕군 영덕읍 노물리 161-1,129.430586,36.447791,35,430,공터,,54
432,경상북도,영덕군,노물지구,지미슈퍼뒤 공터,경상북도 영덕군 영덕읍 노물리 70-6,129.43293,36.447001,20,250,공터,,35
433,경상북도,영덕군,노물지구,해녀횟집뒤 골목,경상북도 영덕군 영덕읍 노물리 20,129.434947,36.446441,25,160,공터,,46
434,경상북도,영덕군,대부지구,구)마을회관옆,경상북도 영덕군 영덕읍 대부리 273,129.421112,36.401413,150,90,공터,,35
435,경상북도,영덕군,대부지구,창포교회뒤편,경상북도 영덕군 영덕읍 대부리 247-3,129.423048,36.403975,400,85,공터,,35
436,경상북도,영덕군,대진1지구,대진1리 마을뒤 야산,경상북도 영덕군 영해면 대진리 산10-7,129.428274,36.56187,160,230,공터,,30
437,경상북도,영덕군,대진2지구,마을뒤 야산 1,경상북도 영덕군 영해면 대진리 산23-1,129.428568,36.556292,200,150,공터,,20
438,경상북도,영덕군,대진3지구,마을뒤 야산 2,경상북도 영덕군 영해면 대진리 90-1,129.438802,36.550626,150,70,공터,,20
439,경상북도,영덕군,대탄지구,창호민박뒤,경상북도 영덕군 영덕읍 대탄리 산13-1,129.432269,36.433843,130,260,공터,,49
440,경상북도,영덕군,대탄지구,대탄갈릴리교회 뒤,경상북도 영덕군 영덕읍 대탄리 9,129.4309027,36.43558796,130,330,공터,,10
441,경상북도,영덕군,덕천지구,영덕경찰수련원,경상북도 영덕군 병곡면 영덕로 2108-152,129.416943,36.568802,300,500,공터,,20
442,경상북도,영덕군,백석1지구,철암산 1,경상북도 영덕군 병곡면 백석길 25,129.409239,36.620978,300,400,공터,,56
443,경상북도,영덕군,백석1지구,철암산 2,경상북도 영덕군 병곡면 백석길 11-12,129.409739,36.619014,300,400,공터,,56
444,경상북도,영덕군,백석2지구,7번국도변,경상북도 영덕군 병곡면 원황리 619-3,129.399682,36.576534,300,300,공터,,59
445,경상북도,영덕군,백석2지구,동해안휴게소,경상북도 영덕군 병곡면 백석리 706,129.410934,36.623494,300,300,공터,,59
446,경상북도,영덕군,병곡지구,바다향기펜션,경상북도 영덕군 병곡면 병곡리 15-6,129.414625,36.603732,200,300,공터,,49
447,경상북도,영덕군,병곡지구,병곡휴게소,경상북도 영덕군 병곡면 병곡리 331-9,129.413252,36.606215,800,600,공터,,41
448,경상북도,포항시북구,부경지구,힐링턴콘도,경상북도 영덕군 남정면 부경리 156,129.377074,36.27232363,400,90,공터,,30
449,경상북도,영덕군,부흥지구,마을회관,경상북도 영덕군 남정면 부흥리 75-8,129.376502,36.291838,300,130,공터,,30
450,경상북도,영덕군,사진1지구,마을뒤야산,경상북도 영덕군 영해면 사진리 산83,129.437517,36.538747,100,250,공터,,35
451,경상북도,영덕군,사진2지구,마을뒤 공터,경상북도 영덕군 영해면 사진리 310-4,129.43915,36.531065,150,150,공터,,40
452,경상북도,영덕군,사진3지구,마을뒤야산,경상북도 영덕군 영해면 사진리 산83,129.437517,36.538747,100,150,공터,,20
453,경상북도,영덕군,삼사지구,삼사공원입구1,경상북도 영덕군 강구면 삼사리 753-1,129.382064,36.345435,500,250,도로변,,27
454,경상북도,영덕군,삼사지구,삼사공원입구2,경상북도 영덕군 강구면 삼사리 234,129.384945,36.345255,150,100,도로변,,27
455,경상북도,영덕군,삼사지구,씨아일랜드주차장,경상북도 영덕군 강구면 삼사리 631-8,129.381578,36.340158,50,60,공터,,10
456,경상북도,영덕군,영4지구,영리 야산,경상북도 영덕군 병곡면 영리 296,129.402308,36.594331,300,600,공터,,49
457,경상북도,영덕군,오보지구,오보교회뒤,경상북도 영덕군 영덕읍 오보리 17-4,129.432117,36.442387,50,170,공터,,47
458,경상북도,영덕군,오보지구,오보보건소뒤,경상북도 영덕군 영덕읍 오보리 142,129.430228,36.441301,80,280,공터,,30
459,경상북도,영덕군,오포1지구,오포1리 마을뒷산(1),경상북도 영덕군 강구면 오포리 684-1,129.374242,36.361722,100,1400,공터,,340
460,경상북도,영덕군,오포1지구,오포1리 마을뒷산(2),경상북도 영덕군 강구면 오포리 산10,129.373347,36.364839,200,1500,공터,,340
461,경상북도,영덕군,"오포2,3지구",강구정보고,경상북도 영덕군 강구면 삼사리 15-1,129.379949,36.353377,1200,1100,학교운동장,,22
462,경상북도,영덕군,"오포2,3지구",강구초등학교,경상북도 영덕군 강구면 오포리 599-2,129.37878,36.356435,500,490,학교운동장,,20
463,경상북도,영덕군,"오포2,3지구",독도수산뒤,경상북도 영덕군 강구면 삼사리 8,129.386,36.353,500,160,공터,,37
464,경상북도,영덕군,"오포2,3지구",오포대게식당뒤,경상북도 영덕군 강구면 오포리 9-40,129.386473,36.354011,500,200,공터,,33
465,경상북도,영덕군,원척지구,마을공터,경상북도 영덕군 남정면 원척리 218-1,129.377639,36.297897,270,70,공터,,30
466,경상북도,영덕군,장사지구,남정중학교,경상북도 영덕군 남정면 장사리 410-1,129.370855,36.28362,500,1000,공터,,30
467,경상북도,영덕군,장사지구,부흥2리 뒷산,경상북도 영덕군 남정면 장사리 504-1,129.367869,36.287882,250,900,공터,,30
468,경상북도,영덕군,창포지구,창포활어대게횟집 뒤,경상북도 영덕군 영덕읍 창포리 911,129.428784,36.408875,30,130,공터,,35
469,경상북도,영덕군,창포지구,제당옆골목,경상북도 영덕군 영덕읍 창포리 572,129.428646,36.411318,30,90,공터,,24
470,경상북도,영덕군,창포지구,창포보건소뒤,경상북도 영덕군 영덕읍 창포리 931,129.423395,36.407756,30,100,공터,,29
471,경상북도,영덕군,창포지구,창포일반(강유복 집뒤),경상북도 영덕군 영덕읍 창포리 591,129.429359,36.412006,30,150,공터,,29
472,경상북도,영덕군,창포지구,창포초등학교,경상북도 영덕군 영덕읍 창포리 550,129.427915,36.409441,430,100,학교운동장,,25
473,경상북도,영덕군,축산항지구,목너머,경상북도 영덕군 축산면 축산리 산8-5,129.443537,36.512057,400,70,공터,,15
474,경상북도,영덕군,축산항지구,블루로드길,경상북도 영덕군 축산면 축산리 산113-2,129.444205,36.501362,100,70,공터,,40
475,경상북도,영덕군,축산항지구,와우산,경상북도 영덕군 축산면 축산리 산20-2,129.446597,36.510827,200,100,공터,,30
476,경상북도,영덕군,축산항지구,죽도산,경상북도 영덕군 축산면 축산리 산106-4,129.450889,36.507654,300,400,공터,,40
477,경상북도,영덕군,축산항지구,축산항초교,경상북도 영덕군 축산면 축산리 187,129.442524,36.509327,400,800,학교운동장,,20
478,경상북도,영덕군,하저지구,문화교맞은편뒤,경상북도 영덕군 강구면 하저리 401,129.406888,36.390612,100,200,공터,,15
479,경상북도,영덕군,하저지구,탁주합동제조장뒤,경상북도 영덕군 강구면 하저리 115,129.4084,36.392005,100,430,공터,,12
480,경상북도,영덕군,하저지구,푸른바다민박뒤,경상북도 영덕군 강구면 하저리 6-6,129.414122,36.393511,100,270,공터,,11
481,경상북도,영덕군,하저지구,하저문화마을뒤,경상북도 영덕군 강구면 하저리 449-1,129.404467,36.389579,200,310,공터,미적용,14
482,경상북도,울진군,산포지구3,방사능센터,경상북도 울진군 근남면 산포1길 34,129.402534,36.961282,300,1100,공공건축물,미적용,5
483,경상북도,울진군,노음지구,근남문화체육센터,경상북도 울진군 근남면 울진북로 151-3,129.395582,36.963613,300,1700,공공건축물,미적용,6
484,경상북도,울진군,노음지구,노음초등학교,경상북도 울진군 근남면 노음6길 22,129.39183,36.958665,300,2000,학교운동장,미적용,7
485,경상북도,울진군,노음지구,경원아파트,경상북도 울진군 근남면 노음리 331-4,129.394335,36.960899,200,1800,민간건축물,미적용,6
486,경상북도,울진군,산포지구3,산포리1030-4번지일대밭,경상북도 울진군 근남면 산포리 1030-4,129.408709,36.95873,100,630,공터,미적용,14
487,경상북도,울진군,산포지구4,산포리18번지일대밭,경상북도 울진군 근남면 산포리 18,129.416301,36.954601,150,130,공터,미적용,17
488,경상북도,울진군,산포지구5,산포리92번지일대밭,경상북도 울진군 근남면 산포리 312,129.415292,36.947544,100,250,공터,미적용,8
489,경상북도,울진군,산포지구5,산포리313번지일대밭,경상북도 울진군 근남면 산포리 313,129.41517,36.947661,100,250,공터,미적용,20
490,경상북도,울진군,산포지구5,산포3리마을회관,경상북도 울진군 근남면 산포리 75-1,129.417252,36.946499,100,170,공공건축물,미적용,7
491,경상북도,울진군,산포지구4,산포리523번지일대밭,경상북도 울진군 근남면 산포리 523,129.413565,36.95774,150,220,공터,미적용,11
492,경상북도,울진군,"산포지구1,2",산포리641-2번지도로일대,경상북도 울진군 근남면 산포리 642,129.412227,36.961896,100,200,도로변,미적용,14
493,경상북도,울진군,"산포지구1,2",해맞이공원주차장,경상북도 울진군 근남면 산포리 661-3,129.412294,36.964549,300,220,공터,미적용,21
494,경상북도,울진군,"산포지구1,2",망양정,경상북도 울진군 근남면 산포리 714,129.412732,36.966585,100,130,공터,미적용,42
495,경상북도,울진군,수산지구,수산리421번지일대,경상북도 울진군 근남면 수산리 421,129.394068,36.969744,100,1500,공터,미적용,21
496,경상북도,울진군,수산지구,수산리483-1번지일대,경상북도 울진군 근남면 수산리 483-1,129.397837,36.971833,80,1200,공터,미적용,12
497,경상북도,울진군,수산지구,수산리493번지공터,경상북도 울진군 근남면 수산리 493,129.397109,36.973011,300,1200,공터,미적용,10
498,경상북도,울진군,진복지구2,만영수산뒤밭,경상북도 울진군 근남면 진복리 174,129.417162,36.921837,100,175,공터,미적용,13
499,경상북도,울진군,진복지구2,진복2리복지회관뒤밭,경상북도 울진군 근남면 진복리 231-2,129.415913,36.918327,150,80,공터,미적용,9
500,경상북도,울진군,진복지구1,진복리522번지일대공터,경상북도 울진군 근남면 진복리 522,129.414516,36.926987,100,325,공터,미적용,19
501,경상북도,울진군,진복지구1,진복리651번지일대,경상북도 울진군 근남면 진복리 651,129.413523,36.929216,300,320,공터,미적용,8
502,경상북도,울진군,진복지구1,펜션뒤밭,경상북도 울진군 근남면 진복리 716-3,129.414849,36.931646,100,200,공터,미적용,5
503,경상북도,울진군,기성지구,기성리 451번지 옆 도로,경상북도 울진군 기성면 기성리 451번지,129.4570477,36.8037928,300,370,도로변,미적용,30
504,경상북도,울진군,기성지구,기성리 135번지 일대 밭,경상북도 울진군 기성면 척산리 135,129.449078,36.796401,100,100,공터,미적용,15
505,경상북도,울진군,기성지구,기성리 321번지 일대 밭,경상북도 울진군 기성면 척산리 321,129.451333,36.801116,100,250,공터,미적용,20
506,경상북도,울진군,망양지구2,삼성모텔 뒤 야산,경상북도 울진군 기성면 망양로 111,129.429198,36.846206,200,100,공터,미적용,18
507,경상북도,울진군,망양지구1,늘푸른민박,경상북도 울진군 기성면 망양로 217-1,129.425311,36.85498,200,100,민간건축물,미적용,14
508,경상북도,울진군,사동지구1,사동초등학교,경상북도 울진군 기성면 사동리 455,129.437804,36.830099,500,90,학교운동장,미적용,15
509,경상북도,울진군,구산지구1,구산중앙교회옆,경상북도 울진군 기성면 구산리 177,129.4665549,36.7611869,200,240,공터,미적용,22
510,경상북도,울진군,구산지구1,구산침례교회뒷산,경상북도 울진군 기성면 구산리 305,129.4657358,36.7584008,300,200,공터,미적용,21
511,경상북도,울진군,구산지구2,구산비치모텔뒤공터,경상북도 울진군 기성면 구산리 391,129.4647454,36.7520746,300,360,공터,미적용,20
512,경상북도,울진군,구산지구2,동해월송정옥상,경상북도 울진군 기성면 구산리 418-1,129.4642466,36.755058,300,280,공공건축물,미적용,22
513,경상북도,울진군,구산지구1,태평양횟집뒷산,경상북도 울진군 기성면 구산리 48-2,129.4713433,36.762684,150,150,공터,미적용,22
514,경상북도,울진군,구산지구1,마을뒤고지대밭,경상북도 울진군 기성면 구산리 83,129.4739681,36.7633661,300,240,공터,미적용,19
515,경상북도,울진군,기성지구,비행훈련원기숙사,경상북도 울진군 기성면 기성로 721,129.4500816,36.8023299,1000,550,공공건축물,미적용,40
516,경상북도,울진군,망양지구2,망양정옛터,경상북도 울진군 기성면 망양리 산68,129.427787,36.849533,300,90,공터,미적용,19
517,경상북도,울진군,망양지구1,마을뒤고지대,경상북도 울진군 기성면 망양리 515-1,129.423151,36.852363,500,300,공터,미적용,19
518,경상북도,울진군,봉산지구2,봉산2리마을회관뒤밭,경상북도 울진군 기성면 봉산리 115-2,129.4744597,36.7705571,200,120,공터,미적용,15
519,경상북도,울진군,봉산지구1,봉산리 150-1 일대 밭,경상북도 울진군 기성면 봉산리 150-1,129.471271,36.774725,100,100,공터,미적용,15
520,경상북도,울진군,봉산지구1,봉산1리마을뒷산,경상북도 울진군 기성면 봉산리 306,129.469003,36.780187,100,100,공터,미적용,26
521,경상북도,울진군,봉산지구1,봉산1리개인주택,경상북도 울진군 기성면 봉산리 322,129.4659341,36.7815236,300,250,민간건축물,미적용,23
522,경상북도,울진군,봉산지구1,봉산리 490번지 인근도로,경상북도 울진군 기성면 봉산리 490,129.458923,36.788557,1000,500,도로변,미적용,24
523,경상북도,울진군,봉산지구2,마을뒷산묘지,경상북도 울진군 기성면 봉산리 산60,129.4741185,36.7717517,300,60,공터,미적용,17
524,경상북도,울진군,봉산지구2,봉산2리개인주택,경상북도 울진군 기성면 봉산리 75-3,129.4756875,36.7691623,500,130,민간건축물,미적용,15
525,경상북도,울진군,사동지구2,마을뒤고지대,경상북도 울진군 기성면 사동리 168,129.44646,36.823227,300,90,공터,미적용,15
526,경상북도,울진군,사동지구1,마을뒤도로,경상북도 울진군 기성면 사동리 308-1,129.445475,36.828926,300,100,공터,미적용,15
527,경상북도,울진군,사동지구1,사동2리마을뒷산,경상북도 울진군 기성면 사동리 산13,129.443818,36.828633,100,100,공터,미적용,21
528,경상북도,울진군,사동지구2,사동3리마을뒷산,경상북도 울진군 기성면 사동리 산75,129.444455,36.825444,100,160,공터,미적용,26
